Estação ,Sensores ,Data Hora,Valor ,,,,,
IGUATU,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
IBARETAMA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
IBARETAMA,Umidade Relativa (%),2013-04-01 00:00:00,19.20,,,,,
IBARETAMA,Temp. do Ar (ºC),2013-04-01 00:00:00,8.00,,,,,
IBARETAMA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
IBARETAMA,Pressão atmosférica (hPa),2013-04-01 00:00:00,1054.70,,,,,
IBARETAMA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
IBARETAMA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
CRATO,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
CRATO,Umidade Relativa (%),2013-04-01 00:00:00,92.80,,,,,
CRATO,Temp. do Ar (ºC),2013-04-01 00:00:00,15.80,,,,,
CRATO,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
CRATO,Pressão atmosférica (hPa),2013-04-01 00:00:00,1054.70,,,,,
CRATO,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.40,,,,,
CRATO,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
CEDRO,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.60,,,,,
CEDRO,Umidade Relativa (%),2013-04-01 00:00:00,91.20,,,,,
CEDRO,Temp. do Ar (ºC),2013-04-01 00:00:00,23.70,,,,,
CEDRO,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
CEDRO,Pressão atmosférica (hPa),2013-04-01 00:00:00,981.90,,,,,
CEDRO,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
CEDRO,Direção do vento (graus),2013-04-01 00:00:00,141.00,,,,,
CAMOCIM,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
CAMOCIM,Umidade Relativa (%),2013-04-01 00:00:00,83.20,,,,,
CAMOCIM,Temp. do Ar (ºC),2013-04-01 00:00:00,22.60,,,,,
CAMOCIM,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,8.81,,,,,
CAMOCIM,Pressão atmosférica (hPa),2013-04-01 00:00:00,1011.80,,,,,
CAMOCIM,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
CAMOCIM,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
BANABUIU,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,1.40,,,,,
BANABUIU,Umidade Relativa (%),2013-04-01 00:00:00,70.40,,,,,
BANABUIU,Temp. do Ar (ºC),2013-04-01 00:00:00,27.30,,,,,
BANABUIU,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
BANABUIU,Pressão atmosférica (hPa),2013-04-01 00:00:00,995.10,,,,,
BANABUIU,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.20,,,,,
BANABUIU,Direção do vento (graus),2013-04-01 00:00:00,63.00,,,,,
ARARIPE,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,1.60,,,,,
ARARIPE,Umidade Relativa (%),2013-04-01 00:00:00,65.60,,,,,
ARARIPE,Temp. do Ar (ºC),2013-04-01 00:00:00,24.00,,,,,
ARARIPE,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ARARIPE,Pressão atmosférica (hPa),2013-04-01 00:00:00,939.80,,,,,
ARARIPE,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ARARIPE,Direção do vento (graus),2013-04-01 00:00:00,87.00,,,,,
